,Name,Mileage,Dealer Name,Rating,Review Count,Price
0,2022 Mercedes-Benz A-Class A 220,"12,595 mi.",Mercedes-Benz of Foothill Ranch,4.7,656 ,"$36,999"
1,2019 Mercedes-Benz AMG SLC 43 Base,"14,983 mi.",Mercedes-Benz Of Rochester,4.8,183 ,"$50,974"
2,2023 Mercedes-Benz E-Class E 450 4MATIC,"6,521 mi.",Mercedes-Benz of Westwood,2.4,441 ,"$67,213"
3,2018 Mercedes-Benz AMG SL 63 Base,"19,480 mi.",W.I. Simonson Inc.,4.6,889 ,"$88,496"
4,2019 Mercedes-Benz AMG E 53 Base 4MATIC,"23,163 mi.",Mercedes-Benz of State College,n/a,2 ,"$61,795"
5,2017 Mercedes-Benz S-Class S 550,"26,032 mi.",Star Motor Cars,3.7,63 ,"$69,880"
6,2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"42,022 mi.",Mercedes-Benz of Goldens Bridge,4.4,236 ,"$55,392"
7,2022 Mercedes-Benz GLE 350 Base,"17,488 mi.",Mercedes-Benz of St. Charles,4.7,589 ,"$59,893"
8,2019 Mercedes-Benz S-Class S 560,"49,332 mi.",Mercedes-Benz of Ontario,4.8,"2,016 ","$55,480"
9,2021 Mercedes-Benz E-Class E 450 4MATIC,"12,477 mi.",Benzel-Busch Motor Car,4.5,"5,276 ","$76,532"
10,2021 Mercedes-Benz AMG GLE 53 Base,"33,578 mi.",Mercedes-Benz of Rochester,4.7,152 ,"$76,995"
11,2019 Mercedes-Benz AMG E 63 S 4MATIC,"17,831 mi.",Baker Motor Company of Charleston,2.5,208 ,"$86,998"
12,2021 Mercedes-Benz E-Class E 350,"27,839 mi.",Fletcher Jones Motorcars of Fremont,4.7,"1,220 ","$45,980"
13,2023 Mercedes-Benz GLA 250 Base,"3,929 mi.",Mercedes-Benz of Gilbert,3.8,350 ,"$37,888"
14,2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"28,450 mi.",Mercedes-Benz of Walnut Creek,4.5,"1,016 ","$53,986"
15,2021 Mercedes-Benz E-Class E 450 4MATIC,"8,173 mi.",Mercedes-Benz of Lancaster,4.8,172 ,"$67,990"
16,2021 Mercedes-Benz GLE 450 AWD 4MATIC,"16,210 mi.",Volkswagen of Quad Cities,4.8,179 ,"$64,300"
17,2021 Mercedes-Benz AMG GLC 43 4MATIC Coupe,"18,852 mi.",Mercedes-Benz of Wilmington,4.5,"1,793 ","$62,900"
18,2018 Mercedes-Benz GLA 250 Base 4MATIC,"24,225 mi.",Mercedes-Benz of Goldens Bridge,4.4,236 ,"$29,900"
19,2020 Mercedes-Benz GLS 450 Base 4MATIC,"43,940 mi.",Mercedes-Benz of Goldens Bridge,4.4,236 ,"$57,791"
20,2021 Mercedes-Benz AMG GLE 53 Base,"24,253 mi.",Mercedes-Benz of Naperville,4.7,884 ,"$71,200"
21,2022 Mercedes-Benz A-Class A 220 4MATIC,"4,713 mi.",Mercedes-Benz of Wilmington,4.5,"1,793 ","$38,900"
22,2018 Mercedes-Benz S-Class S 560,"43,099 mi.",Mercedes-Benz of Wesley Chapel,4.5,921 ,"$53,399"
23,2019 Mercedes-Benz CLS 450 Base 4MATIC,"28,311 mi.",Mercedes-Benz of Goldens Bridge,4.4,236 ,"$47,990"
24,2023 Mercedes-Benz EQB 350 Base 4MATIC,712 mi.,Mercedes-Benz of Walnut Creek,4.5,"1,016 ","$52,886"
25,2021 Mercedes-Benz AMG GLS 63 Base 4MATIC,"18,547 mi.",Mercedes-Benz of Hoffman Estates,4.6,"1,184 ","$137,999"
26,2022 Mercedes-Benz AMG C 43 Base 4MATIC,"10,381 mi.",Mercedes-Benz of Hoffman Estates,4.6,"1,184 ","$73,999"
27,2019 Mercedes-Benz C-Class C 300 4MATIC,"38,234 mi.",Mercedes-Benz of Orange County NY,4.6,211 ,"$28,995"
28,2020 Mercedes-Benz AMG GLC 43 Base 4MATIC,"5,841 mi.",Mercedes-Benz of Rochester,4.7,152 ,"$54,995"
29,2019 Mercedes-Benz AMG S 63 Base 4MATIC,"40,101 mi.",Mercedes-Benz of Wilmington,4.5,"1,793 ","$93,900"
